objectid,filename,title,chef,file-date,subject,category-name,cuisine,ingredients,description,directions-cooking,format,type,file-size,dimensions,rights,rights-permissions
coll01,coll01.jpg,Tortillas Azules,"Resendiz, Victor",2024-08-11,Blue Corn Tortillas; Mexican Cooking,tortillas,Mexican,Blue Corn Flour,"The photo depicts finished Tortillas Azules or ‘Blue corn tortillas.’ Blue Corn Tortillas are commonly used as the signature tortilla for Mexican street food quesadillas. The blue color comes from a natural variety of blue corn that is found throughout Mexico and the American Southwest. When made into quesadillas, unlike tacos and other tortilla foods, the blue corn tortilla is shaped into a wide oval, which ‘doubles’ its size and serving. The cultural confusion of this ‘doubling’ is from the Nahuatl origin of the word ‘quesadilla’ and a folksonomy assuming that ‘quesa’ comes from ‘queso.’ One might order a quesadilla in Mexico where the vendor has intended it as a doubled taco, only for the customer to be confused when their order does not come with cheese.","To make tortillas of any corn variety, at least two cups of hot water are needed for two cups of corn flour. While the water is hot, the water is poured incrementally into a bowl of corn flour and then gently whisked into crumbs by hand. After about one and a half cups of water have been poured into the bowl of corn flour, the crumbs are then combined into one dough. More hot water is poured on top of the dough in much smaller increments. Typically, most of the hot water is used when making tortillas. The dough is kneaded for several minutes, then split into smaller dough balls, depending on the desired size. A chef verifies that the dough has been properly made with the ‘smush’ test. A tortilla press and plastic sheets are used to flatten tortillas. A flat pan is used to sear the tortillas on both sides, flipping in small intervals until they puff. After the tortillas are fully ‘cooked,’ they can be stored in a tortillero.",image/jpg,Image;StillImage,302 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll02,coll02.jpg,Tortillas Picantes,"Resendiz, Victor",2025-03-09,Spiced Tortillas; Mexican Cooking,tortillas,"Mexican, Mexican American","Ground Spices, Ancho Chili Pepper, Chipotle Chili Pepper, Arbol Chili Peppers","The photo depicts finished Tortillas con Ancho Molino. To spice or flavor tortillas, salt and other spices are added before the corn flour is mixed with water. These spices can be ground ancho chili pepper, chipotle chili pepper, red pepper flakes, or other chili peppers.","To make tortillas of any corn variety, at least two cups of hot water are needed for two cups of corn flour. While the water is hot, the water is poured incrementally into a bowl of corn flour and then gently whisked into crumbs by hand. After about one and a half cups of water have been poured into the bowl of corn flour, the crumbs are then combined into one dough. More hot water is poured on top of the dough in much smaller increments. Typically, most of the hot water is used when making tortillas. The dough is kneaded for several minutes, then split into smaller dough balls, depending on the desired size. A chef verifies that the dough has been properly made with the ‘smush’ test. A tortilla press and plastic sheets are used to flatten tortillas. A flat pan is used to sear the tortillas on both sides, flipping in small intervals until they puff. After the tortillas are fully ‘cooked,’ they can be stored in a tortillero.",image/jpg,Image;StillImage,302 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll03,coll03.jpg,Salsa Verde,"Resendiz, Victor",2025-03-13,Green Salsa; Mexican Cooking,salsa,Mexican,"Tomatillos, Poblano Chili Pepper, Serano Chili Pepper, Jalapeno Chili Pepper, Arbol Chili Pepper","The photo depicts a finished Salsa Verde made from roasted vegetables. Salsa Verde is an essential dish to many Mexican and Mexican American foods. The salsa itself is a blended salsa of roasted onions, garlic, tomatillos, poblanos, jalapenos, cilantro, and other spices to make a signature green salsa. This salsa can either be very smooth or barely blended, as well as having varying degrees of spice. As a side dish, it is the ‘green salsa’ that accompanies street tacos, but it is also a salsa for simmering steak, a salsa for Enchiladas Verdes, or a salsa to combine with fried tortillas for Chilaquiles Verdes.","Salsa Verde can have many different bases depending on the chef or region of cuisine. Some bases for Salsa Verde begin with blending roasted jalapeno, serrano, and poblano chili peppers and roasted onions and garlic. Other bases for Salsa Verde begin by blending roasted tomatillos and adding degrees of spice with jalapeno, serrano, arbol and poblano chili peppers. Another base for Salsa Verde forgoes roasting to instead simmer tomatillos and chili peppers in a stove pot before blending. With herbs and other spices, each of these methods produce a Salsa Verde, though no specific method is unique to any given region or Mexican or Mexican American cuisine.",image/jpg,Image;StillImage,296 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll04,coll04.jpg,Salsa de Chile Guajillo,"Resendiz, Victor",2025-03-21,Guajillo Salsa; Mexican Cooking,salsa,Mexican,"Guajillo Chili Pepper, Ancho Chili Pepper, Arbol Chili Pepper, Chipotle Chili Pepper, Mortia Chili Pepper","The photo depicts a Salsa de Chile Guajillo. Guajillo Salsa is a bedrock dish in Mexican and Mexican American food. Guajillo Salsa is typically poured over tortilla-based foods or as a marinade, Guajillo Salsa is the flavor base of chorizo, steak, adobo and other meats. The salsa itself consists of rehydrated or seared guajillo chili peppers, ancho chili peppers, arbol chili peppers, or chipotle chili peppers, and roasted onion, tomatoes, and garlic and other spices.","To make Guajillo Salsa, dried guajillo chili peppers are either seared until blistered or rehydrated in a large stock pot. Guajillo Salsa can include ancho, arbol, and chipotle chili peppers that are also either rehydrated or seared to blister individually or together. After either the hydrating process or searing processes, the ingredients are blended with roasted onions, tomatoes, and garlic and other spices to make the salsa, which is typically a flavorful, spicy salsa.",image/jpg,Image;StillImage,364 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll05,coll05.jpg,Tinga de Pollo,"Resendiz, Victor",2025-03-10,Chicken Tinga; Mexican Cooking,pollo,Mexican,"Chipotle Chili Pepper, Adobo Sauce, Consome ","The photo depicts a glass container of shredded Tinga de Pollo. Chicken Tinga is chicken breast simmered in blended chipotle peppers in tomato and chicken broth. The flavor of Chicken Tinga is very spicy chipotle, roasted tomatoes, sautéed onions, and many herbs. Chicken Tinga can be eaten alone or used as a filling or topping for other Mexican dishes.","To make Chicken Tinga, sliced onions are first sauteed in a deep pan or pot. Once the onions are properly golden, diced tomatoes, spices, and herbs are added. Other roasted vegetables and chipotle chili peppers are blended together with cups of tomato and chicken broth to finish the flavor base. The fresh tomato and chicken broth with blended chipotle chili peppers is added into the same pan or pot with onions and diced tomatoes. Raw chicken breast is placed into the broth and the pan or pot is covered. With the heat low, the chicken is simmered until it is fully cooked. Once cooked safely, the chicken breast is taken out of the broth and set into a bowl for shredding. After all the chicken has been shredded, it is all placed back into the broth and mixed evenly with the onion and tomatoes. The final mix of Chicken Tinga is served either with other sides or used as a filling ingredient or topping.",image/jpg,Image;StillImage,486 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll06,coll06.jpg,Pollo Adobado,"Resendiz, Victor",2024-08-29,Adobo Chicken; Chicken Al Pastor; Mexican Cooking,pollo,"Mexican, Latin American, Carribean","Achiote Paste, Pineapple Juice, Guajillo Chili Pepper, Cloves","The photo depicts a baking pan of Pollo Adobado. Adobo Chicken or Chicken Al Pastor is chicken breast baked with a very expanded guajillo chili pepper marinade. Much like making a Guajillo Salsa, many of the same ingredients are simply doubled for more servings, however, the ‘adobo’ requires the addition of achiote paste or achiote powder and several fruit juices. The finished adobo is a marinade of pureed guajillo, ancho, and chipotle chili peppers blended into orange and pineapple juice along with many herbs and other spices. The particular red color of the ‘adobo’ comes from achiote (annatto) color. It is also common to see this dish used as a baked chicken substitute of pork-based Al Pastor. It is also common to see ‘Al Pastor A La Gringa’ where this food is sold, in reference to the American palette of chicken as an alternative for pork.","The ‘adobo’ marinade of Adobo Chicken or Chicken Al Pastor requires many ingredients that expand upon a basic Guajillo Salsa. The essential ingredients of Guajillo Salsa are increased to fit a bigger marinade for baked chicken servings, along with the inclusion of several tablespoons of achiote paste or achiote powder and half-cups or whole cups of orange and pineapple juice, to include adding extra tablespoons of oil and vinegar. With the ‘adobo’ blended and in a fridge container, the chicken is placed inside to marinate for at least eight hours, but no longer than one night as the acidity of the marinade can spoil the meat. The chicken can be baked with excess ‘adobo’ spread around it, and when finished, Adobo Chicken can be served alone or used as a filling or topping.",image/jpg,Image;StillImage,323 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll07,coll07.jpg,Arroz Mexicano,"Resendiz, Victor",2025-03-07,Spanish Rice; Mexican Cooking,arroz,Mexican,"Roasted Tomatoes, Tomato Broth Powder, Consomme","The photo depicts Arroz Mexicano. ‘Spanish Rice’ is a name for Arroz Mexicano that originates from racist marketing tactics. The long history of calling Arroz Mexicano ‘Spanish Rice’ can be explored in other materials, but the rice itself is simply rice simmered with some degree of tomato paste, tomato broth, or some combination of tomatoes or tomato flavor and chicken broth and other spices. It is also common for Arroz Mexicano to be served with carrots and peas mixed in, though these additions are not as signature to the dish as the depth of tomato ingredients used to make it.","To make Arroz Mexicano, one method is to begin by roasting tomatoes, onion, and garlic, and then combining the ingredients with tomato broth powder (consommé) and chicken broth in a blender to blend until smooth. In a large pot, the rice is toasted until it is aromatic and slightly golden. Then, the fresh tomato broth is poured into the pot to the desired amount, and with the heat set low, the pot covered, the rice is simmered until soft. Often carrots and peas are added while the rice simmers.",image/jpg,Image;StillImage,333 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll08,coll08.jpg,Chilaquiles Rojos,"Resendiz, Victor",2025-03-22,No English Equivalent; Mexican Cooking,platos fuertes,Mexican,"Salsa de Chile Guajillo, Fried Tortilla, Queso Fresco Ranchero, Crema, Cilantro, Diced Onion","The photo depicts Chilaquiles Rojos, served for breakfast with fried eggs. Chilaquiles is a very popular dish that combines fried tortilla into a simmering red or green salsa, which can be topped with either fried eggs, chicken, or pork according to the meantime. With an abundance of ingredients and toppings, Chilaquiles is typically served as the main dish on one plate. The ‘color’ of Chilaquiles does not signify chicken or red meat as in Enchiladas.","To make Chilaquiles, several tortillas are quartered and then fried until crisp. At the same time, a cup or more of green or red salsa is brought to heat and slightly darkened. Then, the fried tortillas are mixed into the heated salsa and the whole pan is poured onto a large plate. The toppings of Chilaquiles are made beforehand and these can be slices of red onion, white onion and cilantro, avocado, queso fresco ranchero, table cream, and the chef’s choice of meat or fried eggs.",image/jpg,Image;StillImage,395 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll09,coll09.jpg,Chilaquiles Verdes,"Resendiz, Victor",2025-03-13,No English Equivalent; Mexican Cooking,platos fuertes,Mexican,"Salsa Verde, Fried Tortilla, Queso Fresco Ranchero, Crema, Cialntro, Diced Onion","The photo depicts Chilaquiles Verdes. Chilaquiles is a very popular dish that combines fried tortilla into a simmering red or green salsa, which can be topped with either fried eggs, chicken, or pork according to the meantime. With an abundance of ingredients and toppings, Chilaquiles is typically served as the main dish on one plate. The ‘color’ of Chilaquiles does not signify chicken or red meat as in Enchiladas.","To make Chilaquiles, several tortillas are quartered and then fried until crisp. At the same time, a cup or more of green or red salsa is brought to heat and slightly darkened. Then, the fried tortillas are mixed into the heated salsa and the whole pan is poured onto a large plate. The toppings of Chilaquiles are made beforehand and these can be slices of red onion, white onion and cilantro, avocado, queso fresco ranchero, table cream, and the chef’s choice of meat or fried eggs.",image/jpg,Image;StillImage,418 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
coll10,coll10.jpg,Enchiladas Rojas,"Resendiz, Victor",2025-03-23,Enchiladas; Mexican Cooking,platos fuertes,"Mexican, Mexican American","Salsa de Chile Guajillo, Tortillas rolled in egg","The photo depicts Enchiladas Rojas rellenas de Huevo. Enchiladas belong to a family of rolled tortillas filled specifically with chicken or red meat. Enchiladas, meaning ‘in chili pepper salsa,’ references that the rolled tortillas are covered in a red or green salsa, and this also describes the filling as well. Green enchiladas, Enchiladas Verdes, denotes that the tortillas in green salsa are filled with chicken. Red enchiladas, Enchiladas Rojas, describes that the tortillas in red sauce have either ground beef or pork in them. It is common to find that when enchiladas are sold, the change of expected filling becomes part of the name, such as Enchiladas Rojas rellenas de Huevo or Enchiladas Verdes rellenas de Poblano and so on.","To make enchiladas, the ‘color’ of salsa is made beforehand and prepared in a large quantity to cover multiple servings of rolled tortillas. Many of the fillings can be made beforehand or at the start of cooking. The cooking method of enchiladas varies between filling and rolling the enchiladas and dipping them into a hot pan of salsa or baking them in salsa with a crust of cheeses. In the case of ‘green’ enchiladas, there is another method of adding avocado and cream to the ‘green’ salsa for a ‘Swiss’ variety of ‘green’ enchiladas, Enchiladas Suizas. These different methods of making enchiladas can mean very different textures of either crispy, creamy, or sauced tortillas, along with the changes in how much extra dairy is used inside the filling, inside the salsa, or as a baking crust.",image/jpg,Image;StillImage,360 KB,1200 x 1200,No Copyright,All permissions for copying and reproducing allowed.
